District,State,Growth,Sex_Ratio,Literacy,,Cities,Growth,Sex_Ratio,Literacy,Total_Population,popu.dens.,,Cities,Sex_Ratio,Literacy,popu.dens.
Sahibganj,Jharkhand,24.01,952,52.04,,,,,,,,,,,,
Saraikela Kharsawan,Jharkhand,25.47,956,67.7,,,,,,,,,,,,
Chatra,Jharkhand,31.77,953,60.18,,,,,,,,,,,,
Gumla,Jharkhand,23.16,993,65.73,,,,,,,,,,,,
Ramgarh,Jharkhand,13.1,921,73.17,,,,,,,,,,,,
Pakur,Jharkhand,28.33,989,48.82,,,,,,,,,,,,
Jamtara,Jharkhand,21.12,954,64.59,,,,,,,,,,,,
Latehar,Jharkhand,29.61,967,59.51,,,,,,,,,,,,
Kodarma,Jharkhand,43.42,950,66.84,,,,,,,,,,,,
Simdega,Jharkhand,16.58,997,67.99,,,,,,,,,,,,
Khunti,Jharkhand,22.32,997,63.86,,,,,,,,,,,,
Lohardaga,Jharkhand,26.68,985,67.61,,,,,,,,,,,,
Bangalore,Karnataka,47.18,916,87.67,,,,,,,,,,,,
Belgaum,Karnataka,13.41,973,73.48,,,,,,,,,,,,
Mysore,Karnataka,13.63,985,72.79,,,,,,,,,,,,
Tumkur,Karnataka,3.65,984,75.14,,,,,,,,,,,,
Gulbarga,Karnataka,18.01,971,64.85,,,,,,,,,,,,
Bellary,Karnataka,20.99,983,67.43,,,,,,,,,,,,
Bijapur,Karnataka,20.5,960,67.15,,,,,,,,,,,,
Dakshina Kannada,Karnataka,10.11,1020,88.57,,,,,,,,,,,,
Davanagere,Karnataka,8.63,972,75.74,,,,,,,,,,,,
Raichur,Karnataka,15.51,1000,59.56,,,,,,,,,,,,
Bagalkot,Karnataka,14.4,989,68.82,,,,,,,,,,,,
Dharwad,Karnataka,15.13,971,80,,,,,,,,,,,,
Mandya,Karnataka,2.38,995,70.4,,,,,,,,,,,,
Hassan,Karnataka,3.18,1010,76.07,,,,,,,,,,,,
Shimoga,Karnataka,6.71,998,80.45,,,,,,,,,,,,
Bidar,Karnataka,13.37,956,70.51,,,,,,,,,,,,
Chitradurga,Karnataka,9.33,974,73.71,,,,,,,,,,,,
Haveri,Karnataka,11.02,950,77.4,,,,,,,,,,,,
Kolar,Karnataka,10.77,979,74.39,,,,,,,,,,,,
Uttara Kannada,Karnataka,6.17,979,84.06,,,,,,,,,,,,
Koppal,Karnataka,16.21,986,68.09,,,,,,,,,,,,
Chikkaballapura,Karnataka,9.23,972,69.76,,,,,,,,,,,,
Udupi,Karnataka,5.85,1094,86.24,,,,,,,,,,,,
Yadgir,Karnataka,22.81,989,51.83,,,,,,,,,,,,
Chikmagalur,Karnataka,-0.26,1008,79.25,,,,,,,,,,,,
Ramanagara,Karnataka,5.05,976,69.22,,,,,,,,,,,,
Gadag,Karnataka,9.54,982,75.12,,,,,,,,,,,,
Chamarajanagar,Karnataka,5.73,993,61.43,,,,,,,,,,,,
Bangalore Rural,Karnataka,16.45,946,77.93,,,,,,,,,,,,
Kodagu,Karnataka,1.09,1019,82.61,,,,,,,,,,,,
Malappuram,Kerala,13.45,1098,93.57,,,,,,,,,,,,
Thiruvananthapuram,Kerala,2.07,1087,93.02,,,,,,,,,,,,
Ernakulam,Kerala,5.69,1027,95.89,,,,,,,,,,,,
Thrissur,Kerala,4.94,1108,95.08,,,,,,,,,,,,
Kozhikode,Kerala,7.2,1098,95.08,,,,,,,,,,,,
Palakkad,Kerala,7.35,1067,89.31,,,,,,,,,,,,
Kollam,Kerala,1.94,1113,94.09,,,,,,,,,,,,
Kannur,Kerala,4.73,1136,95.1,,,,,,,,,,,,
Alappuzha,Kerala,0.88,1100,95.72,,,,,,,,,,,,
Kottayam,Kerala,1.07,1039,97.21,,,,,,,,,,,,
Kasaragod,Kerala,8.58,1080,90.09,,,,,,,,,,,,
Pathanamthitta,Kerala,-2.97,1132,96.55,,,,,,,,,,,,
Idukki,Kerala,-1.79,1006,91.99,,,,,,,,,,,,
Wayanad,Kerala,4.71,1035,89.03,,,,,,,,,,,,
Lakshadweep,Lakshadweep,6.3,946,91.85,,,,,,,,,,,,
Indore,Madhya Pradesh,32.88,928,80.87,,,,,,,,,,,,
Jabalpur,Madhya Pradesh,14.51,929,81.07,,,,,,,,,,,,
Sagar,Madhya Pradesh,17.63,893,76.46,,,,,,,,,,,,
Bhopal,Madhya Pradesh,28.62,918,80.37,,,,,,,,,,,,
Rewa,Madhya Pradesh,19.86,931,71.62,,,,,,,,,,,,
Satna,Madhya Pradesh,19.19,926,72.26,,,,,,,,,,,,
Dhar,Madhya Pradesh,25.6,964,59,,,,,,,,,,,,
Chhindwara,Madhya Pradesh,13.07,964,71.16,,,,,,,,,,,,
Gwalior,Madhya Pradesh,24.5,864,76.65,,,,,,,,,,,,
Ujjain,Madhya Pradesh,16.12,955,72.34,,,,,,,,,,,,
Morena,Madhya Pradesh,23.44,840,71.03,,,,,,,,,,,,
West Nimar,Madhya Pradesh,22.85,965,62.7,,,,,,,,,,,,
Chhattarpur,Madhya Pradesh,19.51,883,63.74,,,,,,,,,,,,
Shivpuri,Madhya Pradesh,22.76,877,62.55,,,,,,,,,,,,
Bhind,Madhya Pradesh,19.21,837,75.26,,,,,,,,,,,,
Balaghat,Madhya Pradesh,13.6,1021,77.09,,,,,,,,,,,,
Betul,Madhya Pradesh,12.92,971,68.9,,,,,,,,,,,,
Dewas,Madhya Pradesh,19.53,942,69.35,,,,,,,,,,,,
Rajgarh,Madhya Pradesh,23.26,956,61.21,,,,,,,,,,,,
Shajapur,Madhya Pradesh,17.2,938,69.09,,,,,,,,,,,,
Vidisha,Madhya Pradesh,20.09,896,70.53,,,,,,,,,,,,
Ratlam,Madhya Pradesh,19.72,971,66.78,,,,,,,,,,,,
Tikamgarh,Madhya Pradesh,20.13,901,61.43,,,,,,,,,,,,
Barwani,Madhya Pradesh,27.57,982,49.08,,,,,,,,,,,,
Seoni,Madhya Pradesh,18.22,982,72.12,,,,,,,,,,,,
Mandsaur,Madhya Pradesh,13.24,963,71.78,,,,,,,,,,,,
Raisen,Madhya Pradesh,18.35,901,72.98,,,,,,,,,,,,
Sehore,Madhya Pradesh,21.54,918,70.06,,,,,,,,,,,,
East Nimar,Madhya Pradesh,21.5,943,66.39,,,,,,,,,,,,
Katni,Madhya Pradesh,21.41,952,71.98,,,,,,,,,,,,
Damoh,Madhya Pradesh,16.63,910,69.73,,,,,,,,,,,,
Guna,Madhya Pradesh,26.97,912,63.23,,,,,,,,,,,,
Hoshangabad,Madhya Pradesh,14.49,914,75.29,,,,,,,,,,,,
Singrauli,Madhya Pradesh,28.05,920,60.41,,,,,,,,,,,,
Sidhi,Madhya Pradesh,23.72,957,64.43,,,,,,,,,,,,
